영화 이름,개봉년도,관람객 평점,평론가 평점,네티즌 평점,평가한 네티즌 수
더 길티,2001,nan,nan,7.79,57
엔젤 아이즈,2001,nan,nan,7.87,68
패스워드,2001,nan,nan,7.97,504
다크 프린스,2001,nan,nan,7.14,14
그래도 사랑해,2001,nan,nan,9.33,3
별주부 해로,2001,nan,nan,8.2,5
디지몬 어드벤처 02,2001,nan,nan,7.33,3
한니발,2001,nan,nan,7.63,767
고추 말리기,2001,nan,nan,7.75,4
아바론,2001,nan,nan,6.4,139
포스 엔젤,2001,nan,nan,2,3
행복한 가족 계획,2001,nan,nan,8.57,7
애니멀,2001,nan,nan,7.88,120
청혼,2001,nan,nan,7.43,61
천사몽,2001,nan,nan,3.64,138
무사,2001,nan,nan,7.95,20
모넬라 2,2001,nan,nan,6.84,32
나의 즐거운 일기,2001,nan,nan,7.36,11
스무살,2001,nan,nan,5.92,38
건달의 법칙,2001,nan,nan,4.59,29
미나,2001,nan,nan,8.43,7
아틀란티스 - 잃어버린 제국,2001,nan,nan,8.37,154
호텔리어,2001,nan,nan,9.32,28
2001 스페이스 오디세이,2001,nan,nan,6.8,15
슈렉,2001,nan,nan,8.89,729
시크릿 러브,2001,nan,nan,9,2
포인트 맨,2001,nan,nan,5,7
옐로우스톤,2001,nan,nan,5.5,2
스내치,2001,nan,nan,8.59,809
던전 드래곤,2001,nan,nan,4.46,96
쥬라기 공원 3,2001,nan,nan,6.88,849
내 마음의 비밀,2001,nan,nan,9,1
킬러들의 수다,2001,nan,nan,8.31,1107
도쿄 맑음,2001,nan,nan,7.11,63
자살 관광버스,2001,nan,nan,7.13,67
스파이더 게임,2001,nan,nan,7.28,90
미이라 - 시리즈,2001,nan,nan,6,5
아이 러브 유,2001,nan,nan,3.38,24
차스키 차스키,2001,nan,nan,9.23,31
늑대의 후예들,2001,nan,nan,7.59,225
다운 투 어쓰,2001,nan,nan,6.71,17
그녀에게 잠들다,2001,nan,nan,3.33,36
멀홀랜드 드라이브,2001,9.6,nan,7.54,881
키드,2001,nan,nan,8.66,70
리지 맥과이어 - TV 시리즈,2001,nan,nan,9.88,41
RGB 모험,2001,nan,nan,0,0
여우령,2001,nan,nan,6.66,86
토틀 웨스턴,2001,nan,nan,8.33,6
록키 6,2001,nan,nan,7,3
트래픽,2001,nan,nan,8.19,189
신라의 달밤,2001,nan,nan,7.65,580
소문난 여자,2001,nan,nan,0,0
컷어웨이,2001,nan,nan,5.71,7
러시 아워 2,2001,nan,nan,8.74,343
간장 선생,2001,nan,nan,7.12,57
타임리스 멜로디,2001,nan,nan,7,3
차이나 스트라이크 포스,2001,nan,nan,8.86,28
더 댄서,2001,nan,nan,7.33,15
클럽 버터플라이,2001,nan,nan,5.24,58
24 시즌1,2001,nan,nan,9.33,279
나비,2001,nan,nan,8,46
이별 없는 아침,2001,nan,nan,8,1
이웃집 토토로,2001,9.53,9,9.26,3175
동경의 주먹,2001,nan,nan,6.94,16
"정글은 언제나 맑음 뒤 흐림, 하레와 쿠우",2001,nan,nan,9.82,17
반지의 제왕: 반지 원정대,2001,9.84,nan,9.3,4205
못다한 27번의 키스,2001,nan,nan,6.88,8
요정 컴미,2001,nan,nan,7.67,18
콘벤트,2001,nan,nan,6.31,26
밴드 오브 브라더스,2001,nan,nan,9.73,1967
말레나,2001,nan,nan,9.04,1169
바닐라 스카이,2001,nan,nan,8.86,2445
더 킹,2001,nan,nan,8.76,21
크림슨 리버,2001,nan,nan,6.47,83
미래 전사 런딤,2001,nan,nan,5,2
스워드피쉬,2001,nan,nan,8.18,538
맨 오브 오너,2001,nan,nan,9.23,648
프루프 오브 라이프,2001,nan,nan,7.08,74
노랑머리 2,2001,nan,nan,5.3,76
무서운 영화 2,2001,nan,nan,7.05,262
자토이치,2001,nan,nan,7,3
미트 페어런츠,2001,nan,nan,7.93,272
잉글리쉬 브라이드,2001,nan,nan,8.5,6
이것이 법이다,2001,nan,nan,5.07,60
버티칼 리미트,2001,nan,nan,7.95,408
파인딩 포레스터,2001,nan,nan,8.96,422
프라이스 오브 글로리,2001,nan,nan,10,3
금발이 너무해,2001,nan,nan,8.45,938
잎새,2001,nan,nan,4.83,18
머스킷티어,2001,nan,nan,7.08,49
스파이 키드,2001,nan,nan,8.17,152
해리 포터와 마법사의 돌,2001,9.49,nan,9.35,4285
프린세스 다이어리,2001,nan,nan,8.05,751
진주만,2001,nan,nan,8.6,2423
수취인불명,2001,nan,nan,7.83,462
체리 폴스,2001,nan,nan,3.97,32
미이라 2,2001,nan,nan,8.92,825
웨딩 플래너,2001,nan,nan,7.09,67
귀신이 온다,2001,nan,nan,8.93,124
야바,2001,nan,nan,0,0
트레이닝 데이,2001,nan,nan,8.56,738
아름다운 세상을 위하여,2001,nan,nan,9.14,1102
파이란,2001,8.33,nan,9.08,3623
톰캣,2001,nan,nan,6.6,58
원더풀 라이프,2001,8.2,7.5,7.99,376
멋진 친구들 2,2001,nan,nan,1,1
베로니카 - 사랑의 전설,2001,nan,nan,8.53,91
네임리스,2001,nan,nan,6.92,13
왓 위민 원트,2001,nan,nan,8.49,529
15분,2001,nan,nan,7.96,182
파이널환타지,2001,nan,nan,7.06,216
라이방,2001,nan,nan,8.7,77
와니와 준하,2001,9.5,nan,8.64,503
백색지대 3,2001,nan,nan,0,0
파이터 블루,2001,nan,nan,8.32,22
쌍둥이네,2001,nan,nan,8.5,2
초콜릿,2001,nan,nan,8.92,406
세이 예스,2001,nan,nan,6.33,239
빌리 엘리어트,2001,9.75,8,9.35,3765
크레이지 뷰티풀,2001,nan,nan,8.85,454
고해,2001,nan,nan,6.19,21
에볼루션,2001,nan,nan,7.31,231
창문을 통해 어렴풋이,2001,nan,nan,6.75,16
무사,2001,nan,nan,8.84,894
수호천사,2001,nan,nan,9.22,18
학교 시즌4,2001,nan,nan,9,9
소설보다 더 이상한 이야기,2001,nan,nan,7.39,18
스코어,2001,nan,nan,7.6,147
선물,2001,nan,nan,8.98,803
타인의 취향,2001,nan,nan,8.86,185
미스 에이전트,2001,nan,nan,7.85,208
재키는 MVP,2001,nan,nan,6.4,5
열정의 무대,2001,nan,nan,9.06,124
친구,2001,nan,nan,8.63,2606
베이트,2001,nan,nan,6.8,46
티미의 못말리는 수호천사 시즌1,2001,nan,nan,9,1
배드 보이즈,2001,nan,nan,5.71,7
바운스,2001,nan,nan,7.08,24
캐스트 어웨이,2001,nan,nan,9.4,2922
더 야드,2001,nan,nan,7.2,20
스팟,2001,nan,nan,8.76,29
유리의 뇌,2001,nan,nan,8.14,22
캠퍼스 레전드 2,2001,nan,nan,6,23
달마야 놀자,2001,nan,nan,8.44,727
소름,2001,nan,nan,7.28,264
