영화 이름,개봉년도,관람객 평점,평론가 평점,네티즌 평점,평가한 네티즌 수
브리티시 메모리즈,2013,nan,nan,6.4,5
인헤리턴스,2013,nan,5,8.5,10
링컨,2013,nan,8,7.83,752
마스터셰프 코리아 2,2013,nan,nan,9.67,3
말로는 힘들어,2013,9.5,nan,8,22
은여우 -신의 사자-,2013,nan,nan,10,1
적과의 동침,2013,nan,nan,10,2
피치 퍼펙트,2013,nan,7,7.88,564
미스진은 예쁘다,2013,nan,nan,8.4,85
에비던스,2013,nan,nan,6.15,179
엘과 엠의 러브스토리 - 엘 스토리,2013,nan,nan,7.42,19
브로큰 서클,2013,nan,5,8.62,48
신밧드의 7대 모험,2013,nan,nan,2.24,38
썬더와 마법저택,2013,4,nan,8.8,404
우리집 막둥이,2013,nan,nan,9,3
전국 : 천하영웅의 시대,2013,nan,4,6.21,66
테이크 쉘터,2013,nan,7.61,7.53,324
비히클 19,2013,nan,4,5.19,48
송 포 유,2013,nan,6,8.72,802
해피선데이-슈퍼맨이 돌아왔다,2013,nan,nan,7.6,289
새 구두를 사야해,2013,nan,6,8.08,324
여친남친,2013,nan,7.06,7.38,162
2013 Mnet 아시안 뮤직 어워드,2013,nan,nan,0,0
레드: 더 레전드,2013,nan,6.18,8.01,5426
설국열차,2013,nan,7.75,7.98,37850
터보,2013,nan,6.67,9.04,1542
히든싱어 2,2013,nan,nan,8.43,126
비단꽃길,2013,nan,5,8.43,14
페이퍼보이: 사형수의 편지,2013,nan,6,6.84,70
드리프트,2013,nan,nan,8.21,77
킹덤 2기,2013,nan,nan,10,1
폭스파이어,2013,9,7.08,7.62,109
공각기동대 어라이즈 보더: 2 고스트 위스퍼스,2013,nan,5,6.71,62
드라마 페스티벌 - 이상 그 이상,2013,nan,nan,9.93,15
그림자 애인,2013,nan,3,5.57,56
왓 러브 이즈,2013,nan,nan,7,3
궁중잔혹사 - 꽃들의 전쟁,2013,nan,nan,9.39,126
왕좌의 게임 3,2013,nan,nan,9.26,69
신검전설,2013,nan,nan,5.15,39
플레이백,2013,nan,nan,4.16,32
흑협 2,2013,nan,nan,5.75,16
구암 허준,2013,nan,nan,7.29,111
우리동네 포르노스타,2013,nan,nan,5.68,19
월플라워,2013,nan,6.72,9.09,1720
섹슈얼 어딕션 : 꽃잎에 느껴지는 쾌락과 통증,2013,nan,nan,7.71,41
스토커,2013,nan,7.75,7.29,3390
연애조작단; 시라노,2013,nan,nan,9.16,64
장고:분노의 추적자,2013,nan,7.8,8.55,3208
변호인,2013,9.29,7.43,9,94129
바바라,2013,8,7.5,8.23,53
드라마 스페셜 - 불청객,2013,nan,nan,8,1
서세원 남희석의 여러 가지 연구소,2013,nan,nan,1,3
슈퍼히어로,2013,nan,nan,7.12,41
그렇게 아버지가 된다,2013,8.75,7.82,8.9,2117
사랑에 빠진 것처럼,2013,8.25,7.08,7.14,86
초한지: 영웅의 부활,2013,nan,4,8.58,1264
나는 당신의 대리천사,2013,nan,nan,9.25,4
수상한 가정부,2013,nan,nan,5.77,292
춤추는 숲,2013,nan,6.87,8.48,104
해결사,2013,nan,nan,5.09,11
수상한 동창회 투게더,2013,nan,nan,10,1
다락방의 토이 스토리,2013,nan,nan,7.74,38
심장이 뛴다,2013,nan,nan,9.59,202
호비와 후후의 대모험: 무지개꽃을 구하라,2013,nan,nan,5.54,24
이효리의 X언니,2013,nan,nan,9.09,11
리틀 버스터즈 Refrain,2013,nan,nan,10,1
캡틴 필립스,2013,nan,6.88,9.05,2503
버틀러: 대통령의 집사,2013,nan,6.75,8.6,670
이고르와 학의 여행,2013,nan,5,8.18,17
올모스트 차밍,2013,nan,nan,7.39,18
인터섹션,2013,nan,nan,7.68,109
섀도우 헌터스 : 뼈의 도시,2013,nan,5.31,7.33,3835
창수,2013,nan,6,7.12,3618
버닝 맨,2013,nan,nan,7.62,29
앤드 오브 워,2013,nan,nan,7.14,42
퍼시픽 모비딕,2013,nan,nan,2.76,157
7번방의 선물,2013,nan,6.58,8.83,46081
EXO's ShowTime,2013,nan,nan,9.87,148
아직 헤어지지 않았기 때문에,2013,nan,nan,10,1
다크니스,2013,nan,nan,5.13,45
드라마 스페셜 연작시리즈 - 동화처럼,2013,nan,nan,9,20
코비:블루 엘리펀트의 전설,2013,nan,nan,8.54,57
KBS 파노라마,2013,nan,nan,0,0
데드폴,2013,nan,nan,6.52,215
메디컬 탑팀,2013,nan,nan,7.01,168
빅 씨 4,2013,nan,nan,10,1
스캔들 : 매우 충격적이고 부도덕한 사건,2013,nan,nan,9.26,200
하이 라이프,2013,nan,nan,6.79,19
불륜의 시대,2013,nan,6,6.77,75
TV로펌 법대법,2013,nan,nan,0,0
러브씬,2013,nan,nan,6.36,39
시크릿,2013,nan,nan,7.95,91
공각기동대 어라이즈 보더: 1 고스트 페인,2013,nan,6.5,6.94,51
응답하라 1994,2013,nan,nan,9.54,1047
혈적자: 황제암살단,2013,nan,nan,4.77,52
클레망스,2013,nan,nan,8.14,7
카오스,2013,nan,nan,6.33,24
드라마 스페셜 - 나에게로 와서 별이 되었다,2013,nan,nan,8.65,17
롤러코스터,2013,nan,6.47,6.52,3886
짓,2013,nan,5,5.28,547
명탐정 코난:수평선상의 음모,2013,nan,nan,8.66,660
피메일 에이전트,2013,nan,nan,8.1,49
세상은 가끔 아름답다,2013,nan,nan,6.71,7
직장의 신,2013,nan,nan,8.55,496
크리스마스마티니,2013,nan,nan,8,1
더 하우스,2013,nan,nan,0,0
프리즈너스,2013,nan,7.13,8.15,1945
다이하드: 굿 데이 투 다이,2013,nan,4.29,7.11,3072
에반게리온: Q,2013,9.33,7.5,6.91,1899
드라마 스페셜 - 진진,2013,nan,nan,9.3,20
여자가 사랑할때,2013,nan,nan,7.38,21
까미유 끌로델,2013,10,7.25,7.54,35
라스트 스탠드,2013,nan,6.88,7.81,1546
사무라이 플라멩코,2013,nan,nan,10,1
무시부교,2013,nan,nan,0,0
드래곤 에이지,2013,nan,nan,5.87,30
안드레아 세니에,2013,nan,nan,9.12,17
아브라함 링컨 VS 좀비,2013,nan,nan,3.11,37
그 여자 그 남자의 속사정,2013,nan,4,5.77,113
수상한 가족,2013,nan,nan,7.43,74
달빛 프린스,2013,nan,nan,6,5
디아틀로프,2013,nan,4,7.19,758
드림팀,2013,nan,5,7.97,111
아름다운 이별은 없다,2013,nan,nan,4.13,30
장미테레비,2013,nan,nan,0,0
당신의 여자,2013,nan,nan,3.01,68
두부요괴,2013,nan,6,7.29,28
디테일스,2013,nan,6,7.77,108
뒷담화:감독이 미쳤어요,2013,nan,6.92,5.53,248
슈퍼스타 차이나,2013,nan,nan,0,0
2013 SBS 연예대상,2013,nan,nan,5.5,2
섀도우 댄서,2013,nan,7.13,7.25,52
스톨른,2013,nan,3,6.68,71
RDG 레드 데이터 걸,2013,nan,nan,0,0
스트라이크 더 블러드,2013,nan,nan,10,3
네 이웃의 아내,2013,nan,nan,9.07,30
2013 코이카의 꿈,2013,nan,nan,10,3
라자르 선생님,2013,nan,6.94,7.63,81
마마,2013,nan,6,7.71,1764
아수라,2013,nan,nan,8.78,160
오렌지,2013,nan,nan,5.66,29
탱고 위드 미,2013,nan,nan,7.47,17
2013 MBC 가요대제전,2013,nan,nan,7,1
눈의 여왕,2013,nan,nan,5.22,365
사랑해서 남주나,2013,nan,nan,8.42,86
테러라인,2013,nan,nan,5.41,27
가시꽃,2013,nan,nan,8.57,7
어느 예술가의 마지막 일주일,2013,9,6.25,8.49,155
의궤 8일간의 축제,2013,nan,nan,10,5
베이타운 디스코,2013,nan,nan,7.35,48
꼬마영웅 경찰차 프로디,2013,nan,nan,7.1,29
신 만이 아는 세계 여신편,2013,nan,nan,8.67,3
"글렌, 플라잉 로봇",2013,nan,nan,6.5,8
스큐,2013,nan,nan,4.92,26
"기브 엠 헬, 말론",2013,nan,nan,7,7
꼬꼬댁 교실 in 베트남,2013,nan,nan,7,3
강적들,2013,nan,nan,9,3
더 이클립스,2013,nan,6,7.36,14
"마진 콜: 24시간, 조작된 진실",2013,8.4,6.63,7.81,603
헐크와 스매쉬군단 시즌1,2013,nan,nan,10,1
지.아이.조 2,2013,nan,5.59,7.07,5294
명랑해결단,2013,nan,nan,4,1
죽지않아,2013,nan,7.5,6.51,163
디 엔드: 인류 최후의 날,2013,nan,nan,3.92,131
하정우 부라더스,2013,nan,nan,6.5,26
팬텀: 라스트 커맨더,2013,nan,5.5,7.06,142
날아라! 호빵맨 극장판: 구하라! 코코링과 기적의 별,2013,nan,6,6.95,38
나는 가수다 명곡 BEST 10,2013,nan,nan,0,0
녹색의자 2013 - 러브 컨셉츄얼리,2013,nan,4,5.56,57
최강 탑플레이트,2013,nan,nan,0,0
플라이트,2013,10,7.21,8.1,620
근무중 이상무,2013,nan,nan,5.5,2
불의 여신 정이,2013,nan,nan,8.06,160
완전 소중한 사랑,2013,nan,5,8.51,173
열애,2013,nan,nan,7.88,24
로마 위드 러브,2013,8.22,6.68,8.18,1463
일탈여행: 프라이빗 아일랜드,2013,nan,nan,4.67,285
내 뇌 속의 선택지가 학원 러브 코미디를 전력으로 방해하고 있다,2013,nan,nan,7.75,4
이영돈PD 논리로 풀다 시즌2,2013,nan,nan,0,0
드라마 페스티벌 - 나 엄마 아빠 할머니 안나,2013,nan,nan,10,1
써커,2013,nan,nan,4.4,88
해피 이벤트,2013,nan,6.67,9.07,213
서번트 X 서비스,2013,nan,nan,10,2
마야의 모험,2013,nan,nan,10,2
극장판 요술공주 밍키 - 꿈속의 윤무,2013,nan,nan,7.59,29
고혹자 - 가두지왕,2013,nan,nan,3.73,51
수호지 - 영웅천하 손립,2013,nan,nan,10,1
링,2013,nan,5,9.17,145
벤젠스,2013,nan,nan,6.75,8
아이돌 육상 풋살 양궁 선수권 대회,2013,nan,nan,7.5,2
"드라마 페스티벌 - 소년, 소녀를 다시 만나다",2013,nan,nan,10,1
결혼 프로젝트 링,2013,nan,nan,7,1
드라마 스페셜 - 불침번을 서라,2013,nan,nan,6.33,3
스파이크1,2013,nan,6,7,3
엄마가 있는 풍경 마마도,2013,nan,nan,3.09,22
유니버셜 솔저 4: 클론의 반란,2013,nan,nan,5.26,38
익스트림 서프라이즈,2013,nan,nan,0,0
비밀의 아코짱,2013,nan,nan,7.05,57
폭풍우 치는 밤에: 비밀 친구,2013,nan,5,7.83,92
TV소설 은희,2013,nan,nan,4.96,71
앤젤스 셰어:천사를 위한 위스키,2013,nan,7.46,7.6,151
글로리아,2013,nan,7.75,7.83,46
태아 3D,2013,nan,nan,7.79,34
포커페이스,2013,nan,nan,5.58,12
애프터 루시아,2013,nan,7.25,7.59,75
초능력 특공대,2013,nan,nan,0,0
원 오브 어 카인드 3D ; G-DRAGON 2013 1ST WORLD TOUR,2013,10,nan,7.65,282
나폴라,2013,nan,nan,8.51,97
콤플렉스,2013,nan,nan,3.93,152
오하이오 삿포로,2013,nan,nan,8.52,71
내 손을 잡아,2013,nan,nan,3.63,97
토토의 움직이는 숲,2013,nan,nan,7.14,56
마이 리틀 히어로,2013,nan,6.15,8.4,1599
슈퍼윙스 3D,2013,nan,nan,8.34,235
언어의 정원,2013,8.96,6.97,8.16,2495
DMZ : DMZ를 바라보는 4가지 시선,2013,nan,nan,8.5,6
극장판 헌터X헌터 : 팬텀루즈,2013,nan,nan,6.32,146
카운슬러,2013,nan,6.96,7.19,2046
드라마 스페셜 - 엄마의 섬,2013,nan,nan,9.5,6
히어로,2013,nan,4,6.19,510
문빔베어 : 달을 사랑한 작은 곰,2013,nan,nan,9.05,21
잠 못 드는 밤,2013,nan,6.19,7.55,66
엔더스 게임,2013,nan,6.5,7.18,4671
우리 선희,2013,8.8,7.44,7.53,814
세상에서 가장 위대한 일,2013,nan,nan,8.57,7
더 벙커 시즌2,2013,nan,nan,9.62,8
고스트,2013,nan,nan,8.3,67
기막힌 남편 스쿨,2013,nan,nan,6,1
건,2013,nan,nan,5.57,14
엘리시움,2013,nan,6.79,7.25,4007
하루,2013,nan,6,8.32,277
붓다: 싯다르타 왕자의 모험,2013,nan,nan,6.33,52
블랙잭,2013,nan,nan,9,21
죠스떡볶이 매콤한 인생,2013,nan,nan,0,0
이머고,2013,nan,4,5.11,62
빅 웨딩,2013,nan,5,6.49,207
도리안 그레이,2013,nan,5.25,7.26,116
더 파이팅 Rising,2013,nan,nan,9.2,5
혈관고 시즌1,2013,nan,nan,10,1
롤플레이2 : 동침,2013,nan,nan,5.11,47
더 자이언트,2013,nan,nan,7.94,208
설특집 스타 애정촌,2013,nan,nan,6.5,4
상하이 콜링,2013,nan,nan,6.09,45
황금을 안고 튀어라,2013,nan,5,6.61,77
비엔나전투 1683,2013,nan,nan,3.41,29
절색무기 : 네이키드 솔저,2013,nan,nan,3.94,36
"쏘리,알러뷰",2013,nan,nan,7.35,26
잊혀진 꿈의 동굴,2013,nan,7.75,8,61
동사서독 리덕스,2013,8.71,8.31,8.56,174
테이크다운,2013,nan,6.13,5.64,272
파리 5구의 여인,2013,nan,6.67,5.78,79
TV소설 삼생이,2013,nan,nan,4.91,154
카르페 디엠,2013,nan,nan,7.34,29
문라이즈 킹덤,2013,8.87,7.66,8.14,665
파이널 어드벤처,2013,nan,nan,8,2
퓨어,2013,nan,7,7.74,42
몬스터 호텔,2013,nan,6.58,8.23,1146
그 남자의 사랑법,2013,nan,5,8.69,139
자극의 세기,2013,nan,nan,2.96,27
용의자,2013,8.27,6.47,8.38,10710
초차원게임 넵튠,2013,nan,nan,10,2
맥스 스틸,2013,nan,nan,1,1
세 여자의 맛있는 불륜,2013,nan,nan,4.5,8
화이 : 괴물을 삼킨 아이,2013,nan,7.08,7.83,6408
극장판 베르세르크: 황금 시대편Ⅲ - 강림,2013,nan,7.11,8.71,438
소명 하늘의 별,2013,nan,nan,8.04,28
두더지,2013,nan,7.8,7.94,241
월터의 상상은 현실이 된다,2013,8.8,6.97,8.75,7057
더 레터,2013,nan,nan,4.6,10
분노의 윤리학,2013,nan,6.67,6.78,2410
더 바이러스,2013,nan,nan,8.57,53
콜렉션,2013,nan,nan,7.69,365
1940: 나치 공습 작전,2013,nan,nan,3.48,23
토스카,2013,nan,nan,8.67,6
스태쉬 하우스,2013,nan,nan,4.18,40
"다시, 뜨겁게 사랑하라!",2013,nan,5,8.23,156
남자사용설명서,2013,nan,6.88,7.03,9057
추석특집 스타 애정촌,2013,nan,nan,6,1
에어 크래쉬,2013,nan,nan,3.25,12
사샤,2013,nan,nan,7.6,10
Mr. 살림왕,2013,nan,nan,0,0
셀러브리티,2013,nan,nan,0,0
VEEP 2 : 정치의 신,2013,nan,nan,10,1
따뜻한 말 한마디,2013,nan,nan,8.12,96
루비반지,2013,nan,nan,4.18,173
마이 라띠마,2013,nan,4,6.38,119
한나를 위한 소나타,2013,nan,nan,8.59,64
컨저링,2013,nan,7.33,7.86,7164
바람의 검심,2013,nan,6.81,8.13,1392
로봇G,2013,nan,6.5,7.77,129
비키니 대작전,2013,nan,nan,3,5
이별계약,2013,nan,5,8.34,732
러브레이스,2013,nan,5.83,7.55,309
못난이 주의보,2013,nan,nan,9.49,670
뷰티풀 크리처스,2013,nan,5.33,7.9,1836
매직 시티 시즌2,2013,nan,nan,10,3
줄리아 엑스,2013,nan,nan,5.59,37
시체 전문 처리반 - 스머글러,2013,nan,nan,6.86,50
더 퍼지,2013,nan,5.25,4.3,1787
불량 경찰 : 부정부패 소탕 작전,2013,nan,nan,7.75,4
오블리비언,2013,nan,6.86,8.26,7931
그 강아지 그 고양이,2013,nan,4.75,8.34,216
비밀의 화방,2013,nan,nan,2.64,28
언디스퓨티드: 1대100의 혈투,2013,nan,nan,6.51,47
오싱,2013,nan,4.5,7.91,324
퍼펙트 싱어 VS,2013,nan,nan,7.69,26
네 얼간이,2013,nan,nan,6.27,44
오! 마이 스타,2013,nan,nan,0,0
놀이터 구조대 뽀잉,2013,nan,nan,10,13
대단한 시집,2013,nan,nan,8.78,32
레퀴엠,2013,nan,nan,8.75,8
배꼽,2013,nan,nan,5.71,297
우와한 녀,2013,nan,nan,9.09,32
막부말 의인전 로망,2013,nan,nan,0,0
특수사건 전담반 TEN 2,2013,nan,nan,9.82,185
킬링 소프틀리,2013,nan,7.63,6.4,198
용문표국,2013,nan,nan,0,0
드라마 스페셜 연작시리즈 - 그녀들의 완벽한 하루,2013,nan,nan,9.07,15
유행의 발견,2013,nan,nan,7.83,6
파라노만,2013,nan,7,8.1,164
화양 : 당대최고수전,2013,nan,nan,7.15,33
배우는 배우다,2013,nan,6.04,6.73,1378
케이온,2013,nan,7,8.42,416
어떤 여인의 고백,2013,nan,7.5,8.27,64
청춘정담,2013,nan,5,8.47,270
노리개: 그녀의 눈물,2013,4,4,7.35,2100
슈퍼히트,2013,nan,nan,0,0
오란고교 호스트부,2013,nan,nan,3.81,73
콘돌은 날아간다,2013,nan,4,4.98,120
키세스,2013,nan,nan,7.45,11
파파로티,2013,nan,6,8.3,10199
무민가족의 한여름 대소동,2013,nan,nan,6.75,8
일말의 순정,2013,nan,nan,9.19,205
마스크 마스터즈,2013,nan,nan,10,4
댄싱 위드 더 스타 시즌3,2013,nan,nan,5.5,2
그녀가 부른다,2013,nan,5.5,8.21,234
매니악 : 슬픈 살인의 기록,2013,nan,4.38,5.59,122
취성의 가르간티아,2013,nan,nan,7,3
데이 앤 나이트,2013,nan,nan,5.11,18
러쉬라이트,2013,nan,nan,4.17,6
베일,2013,nan,nan,6.55,147
크레이지 마켓,2013,nan,nan,0,0
은수저,2013,nan,nan,10,5
더 피플 아이브 슬렙 위드,2013,nan,nan,5.2,5
잭 더 자이언트 킬러,2013,nan,5.5,7.71,2611
논스톱: 분노의 질주,2013,nan,nan,6.25,32
벚꽃 사중주 - 꽃의 노래,2013,nan,nan,6.5,2
우리는 외계인이다,2013,nan,nan,10,3
도전! 수퍼모델 코리아 4,2013,nan,nan,3.51,41
초고속 비법쇼 돈나와라 뚝딱,2013,nan,nan,0,0
버크 앤 헤어,2013,nan,nan,6.29,14
프라이버시,2013,nan,nan,5.21,29
드라마 스페셜 - 끈질긴 기쁨,2013,nan,nan,10,8
천하영웅,2013,nan,nan,6.36,56
환상속의 그대,2013,8,6.95,7.75,233
백악관 최후의 날,2013,nan,4.88,5.39,3142
진바오의 모험,2013,nan,nan,6.25,1700
노는 오빠,2013,nan,nan,7,3
클라우드 아틀라스,2013,nan,6.53,8.24,6278
드라마 스페셜 - 내 낡은 지갑 속의 기억,2013,nan,nan,9.8,5
광고천재 이태백,2013,nan,nan,8.4,161
현시연 2대째,2013,nan,nan,0,0
테르마이 로마이,2013,nan,5.95,6.02,226
R.I.P.D. : 알.아이.피.디.,2013,nan,5,7.64,1833
푸셔: 파이널 프로젝트,2013,nan,nan,6.93,14
엠넷 보이스코리아 2,2013,nan,nan,6,1
헬,2013,nan,nan,6.47,146
벼락 맞은 문방구,2013,nan,nan,7.43,14
미스체인지,2013,nan,4,5.32,244
수호지 가면영웅 - 귀두,2013,nan,nan,5.86,7
인간의 조건,2013,nan,nan,8.6,15
저속희극,2013,nan,nan,5.26,19
두 미 러브,2013,nan,nan,6.5,4
어펜더: 범죄와의 전쟁,2013,nan,nan,8,7
여상육정,2013,nan,nan,9.38,8
연애를 기대해,2013,nan,nan,8.99,238
굿바이 홈런,2013,nan,nan,8.71,120
좋은 친구들,2013,nan,nan,2.35,240
이영돈 신동엽 젠틀맨,2013,nan,nan,8.22,103
산타의 매직 크리스탈,2013,nan,7,7.38,50
버터 러버,2013,nan,nan,6.12,32
무정도시,2013,nan,nan,9.68,263
밀프,2013,nan,nan,7.67,3
사랑은 당신,2013,nan,6,8.92,24
사이비,2013,8.8,7.48,8.79,1416
슈퍼독,2013,nan,nan,8.5,2
스타 베이비시터 날 보러와요,2013,nan,nan,9.9,20
시트콩 로얄빌라,2013,nan,nan,6.88,8
설녀,2013,nan,nan,4,17
스위트 카르마,2013,nan,nan,5.33,33
박수건달,2013,nan,6.33,8.12,11115
헨리스 크라임,2013,nan,5.5,6.78,125
사랑은 타이핑 중!,2013,nan,7,8.48,265
브레이킹 배드 시즌3,2013,nan,nan,9.17,18
여왕의 교실,2013,nan,nan,8.84,1124
오텔로,2013,nan,nan,7,5
극장판 나루토 질풍전: 로드 투 닌자,2013,nan,6,8.95,973
리딕,2013,nan,3,7.37,1014
클립,2013,nan,nan,4.57,14
21 앤드 오버,2013,nan,nan,6.38,32
맛있는 사랑공식-섹스,2013,nan,nan,3.5,2
미스터 고,2013,nan,6.22,7.75,11093
베를린,2013,nan,7.89,7.83,20090
"시바, 인생을 던져",2013,9,6.5,7.62,99
아메리칸 배틀쉽,2013,nan,nan,3.22,54
끝과 시작,2013,nan,7.63,5.62,437
어웨이크닝,2013,nan,nan,7.17,161
웜 바디스,2013,nan,6.55,8.53,11979
위기의 남자들,2013,nan,nan,6.89,9
아무도 머물지 않았다,2013,8.3,7.97,8.06,267
실업급여 로맨스,2013,nan,nan,6,2
블랑섹의 기이한 모험,2013,nan,nan,6.96,124
오즈 그레이트 앤드 파워풀,2013,nan,6.33,7.17,1372
지슬,2013,9.2,8.86,6.27,6320
욕망의 법칙,2013,nan,nan,7.29,28
네가 원한다면,2013,nan,nan,8.86,35
로그 호라이즌,2013,nan,nan,8.67,3
용감한 기자들,2013,nan,nan,7,1
은밀하게 위대하게,2013,nan,4.88,7.12,37640
신세계,2013,9.5,7.22,8.94,21819
수호지 - 의적유당,2013,nan,nan,3.6,5
온천장의 은밀한 정사,2013,nan,nan,4.5,6
최고다 이순신,2013,nan,nan,5.91,1956
황금카메라,2013,nan,nan,6,1
중화 명탐정,2013,nan,nan,6.25,60
베이트,2013,nan,3,5.23,221
스시 걸,2013,nan,nan,6.62,21
마트를 헤매는 당신을 위한 안내서,2013,nan,nan,0,0
야쿠자 대 닌자 2,2013,nan,nan,5.2,5
로어,2013,nan,nan,8.42,50
불멸의 국가대표 시즌2,2013,nan,nan,10,1
잘츠부르크 페스티벌 라이브중계,2013,nan,nan,0,0
메탈리카 스루 더 네버,2013,nan,7,8.66,238
정글의 법칙 K,2013,nan,nan,0,0
클럽 포보스,2013,nan,nan,4.72,25
호세마리아 신부의 길,2013,nan,6,8.42,12
운명의 산 낭가 파르밧,2013,nan,nan,7.44,32
역시 내 청춘의 러브 코미디는 잘못됐다,2013,nan,nan,9.79,14
좀비,2013,nan,nan,6.35,48
친구2,2013,nan,5.5,6.2,7585
브레이크 블레이드 6 : 결전의 시간,2013,nan,nan,9.08,12
극장판 슈타인즈 게이트: 부하영역의 데자뷰,2013,nan,nan,8.91,474
내 연애의 모든 것,2013,nan,nan,9.31,338
내 여자친구와 소꿉친구가 완전 수라장,2013,nan,nan,8.71,7
클라이언트 리스트 시즌2,2013,nan,nan,10,1
완전범죄 프로젝트,2013,nan,nan,7.74,141
하늘에서 음식이 내린다면 2,2013,nan,6.44,8.08,537
위너 TV,2013,nan,nan,10,2
서베일런스,2013,nan,nan,5.64,36
아티스트 봉만대,2013,nan,6.75,7.76,840
컴플라이언스,2013,nan,6,6.82,305
귀가부 활동기록,2013,nan,nan,9,1
국가가 부른다,2013,nan,nan,1,1
텐 아이템 오어 레스,2013,nan,nan,8.87,91
KBS 드라마 스페셜 단막 2013,2013,nan,nan,0,0
영웅이 되고 싶은 남자,2013,nan,nan,4.79,14
세상의 끝까지 21일,2013,nan,6,8.15,521
정글의 법칙 in 캐리비언,2013,nan,nan,0,0
산제이&크레이그,2013,nan,nan,0,0
메인 스트리트,2013,nan,nan,5.26,19
물고기,2013,nan,nan,6.86,96
겟잇뷰티 2013,2013,nan,nan,7,3
퀴어영화 20,2013,nan,nan,7.72,82
토니 스토리: 깡통제국의 비밀,2013,nan,4,7.08,144
파이스토리 : 악당상어 소탕작전,2013,nan,5,8.69,423
코토우라 양,2013,nan,nan,10,2
렛 미 아웃,2013,nan,nan,6.67,54
정글의 법칙 in 뉴질랜드,2013,nan,nan,8.61,31
MUST 밴드의 시대,2013,nan,nan,0,0
내 여친은 피규어,2013,nan,nan,6.58,80
아기기린 자라파,2013,nan,nan,8.93,41
원피스 극장판 제트,2013,nan,6,9.03,1313
"아이,애나",2013,nan,6,5.95,21
최강食록,2013,nan,nan,0,0
마이 프리티 걸,2013,nan,nan,6.5,6
헌티드,2013,nan,nan,8,3
슈퍼쇼4 3D,2013,nan,nan,7.99,98
헨젤과 그레텔 : 마녀 사냥꾼,2013,nan,5.69,7.62,1478
러브 인 코리아,2013,nan,nan,8.06,18
해양경찰 마르코,2013,nan,nan,6.9,267
하우 투 빌드 어 플래닛,2013,nan,nan,0,0
식샤를 합시다,2013,nan,nan,9.55,179
캐치미,2013,nan,3.33,6.65,2126
호프 스프링즈,2013,nan,7.25,8.53,246
명왕성,2013,nan,6.46,7.48,681
오르가즘 다이어리 : 브릴리언트 러브,2013,nan,nan,7.25,8
알.이.씨 3: 제네시스,2013,nan,nan,4.43,161
쾌걸 조로리의 대대대대모험,2013,nan,nan,1.27,2588
황금의 펜타곤,2013,nan,nan,0,0
메리크리스마스 세시봉,2013,nan,nan,10,2
세이빙 산타,2013,10,nan,7.78,484
미나문방구,2013,nan,4.96,7.06,2319
잉여들의 히치하이킹,2013,9.39,7.38,9.25,1149
"페어웰, 마이 퀸",2013,nan,6.5,6.75,110
빅 픽처,2013,nan,5.5,6.67,298
벌거숭이,2013,nan,6,7.07,111
저스트 어 이어,2013,nan,6.38,6.36,100
다크 스페이스,2013,nan,nan,3.81,100
비밀,2013,nan,nan,9.54,678
댄서김의 은밀한 교수법,2013,nan,nan,3.31,35
프라미스드 랜드,2013,nan,7.44,7.84,294
허풍,2013,nan,nan,5.68,71
다큐멘터리 부부,2013,nan,nan,5,3
썰전,2013,nan,nan,5.83,126
삼국의 여인,2013,nan,nan,0,0
내 남편의 시선,2013,nan,nan,1,1
데블스 더블,2013,nan,5,8.14,99
일요일이 좋다-서바이벌 오디션 K팝스타 시즌3,2013,nan,nan,4.14,116
천명 : 조선판 도망자 이야기,2013,nan,nan,8,106
유다의 사자 : 부활절 대모험,2013,nan,4,7.17,36
라 당스,2013,nan,6.67,7.39,28
하리수 도색,2013,nan,4,7.32,28
황금가족,2013,nan,nan,0,0
후세: 말하지 못한 내 사랑,2013,nan,nan,6.94,448
왕자가 된 소녀들,2013,nan,6,8.5,40
드라마 스페셜 - 오빠와 미운오리,2013,nan,nan,9.33,3
월드 워 좀비,2013,nan,nan,6.91,69
진짜 사나이 비밀군사우편,2013,nan,nan,7.11,9
웃는 남자,2013,nan,4.67,8.12,1721
마녀사냥,2013,nan,nan,9.53,333
애니월드,2013,nan,nan,0,0
더 임파서블,2013,nan,7.19,8.2,2192
타마코 마켓,2013,nan,nan,8.87,15
스타 페이스오프,2013,nan,nan,6,3
진링의 13소녀,2013,nan,4.5,8.99,606
바람의 소리,2013,nan,7,8.83,299
비스트,2013,nan,7.38,7.53,152
미래의 선택,2013,nan,nan,7.95,205
슈퍼배드 2,2013,nan,6.5,8.82,1092
오피서 다운,2013,nan,nan,6.53,17
제로 다크 서티,2013,8.5,7.56,8.24,2030
클라라의 LIKE A VIRGIN,2013,nan,nan,5.67,3
하이힐을 신은 여자는 위험하다,2013,nan,5,6.5,6
백은제국,2013,nan,nan,4.25,8
관음 - 욕망의 유희,2013,nan,nan,1.5,2
감기,2013,nan,6.15,6.92,13627
빠스껫 볼,2013,nan,nan,9.13,15
막돼먹은 영애씨 시즌12,2013,nan,nan,8.73,64
프랑스 다이어리,2013,9,6,6.87,15
런닝맨,2013,nan,5.84,7.77,5252
숨은 보물 찾기 용감한 형제들,2013,nan,nan,0,0
해피선데이-1박 2일 시즌3,2013,nan,nan,8.46,242
마리 크뢰이어,2013,nan,6.65,7.16,32
동창생,2013,nan,5.45,7.31,4929
소원택시,2013,nan,nan,6.9,145
